,State,City,Estimated Population,Per Capita Income,Malls,buyers count,potential location,Norm_Potential,Norm_Stores,Priority Index
1,Andhra Pradesh,Nellore,837660,219518,1,418830,96.2,0.967806841,0.274074074,0.693732767
2,Arunachal Pradesh,Itanagar,122930,215897,1,61465,58.2,0.585513078,0.007407407,0.578105671
3,Assam,Diphu,61797,118504,1,30898.5,78.4,0.788732394,0.140740741,0.647991654
4,Assam,Nagaon,147137,118504,1,73568.5,82.4,0.828973843,0.140740741,0.688233102
5,Assam,Silchar,172830,118504,1,86415,98.2,0.987927565,0.140740741,0.847186825
6,Bihar,Bhagalpur,400146,76490,1,200073,87.8,0.883299799,0.140740741,0.742559058
7,Bihar,Muzaffarpur,354462,76490,1,177231,77.4,0.778672032,0.140740741,0.637931291
8,Bihar,Patna,1684297,76490,1,842148.5,78.4,0.788732394,0.140740741,0.647991654
9,Goa,Bicholim,16986,709045,1,8493,91.8,0.923541247,0.044444444,0.879096803
10,Goa,Margao,87650,709045,1,43825,90.2,0.907444668,0.044444444,0.863000224
11,Haryana,Ambala,195153,355000,1,97576.5,92,0.92555332,0.251851852,0.673701468
12,Haryana,Ambala,195153,355000,1,97576.5,92,0.92555332,0.251851852,0.673701468
13,Haryana,Gurugram,876969,355000,1,438484.5,81.6,0.820925553,0.251851852,0.569073701
14,Haryana,Kurukshetra,155152,355000,1,77576,91.4,0.919517103,0.251851852,0.667665251
15,Haryana,Yamuna Nagar,383318,355000,1,191659,91,0.915492958,0.251851852,0.663641106
16,Himachal Pradesh,Solan,580320,215000,1,290160,92.2,0.927565392,0.014814815,0.912750578
17,Jammu&Kashmir,Jammu,657314,132806,1,328657,88.6,0.891348089,0.007407407,0.883940681
18,Jharkhand,Bokaro,564319,95000,1,282159.5,91.6,0.921529175,0.044444444,0.877084731
19,Jharkhand,Dhanbad,1162472,95000,1,581236,83.4,0.839034205,0.044444444,0.794589761
20,Jharkhand,Jamshedpur,1337131,95000,1,668565.5,78.8,0.792756539,0.044444444,0.748312095
21,Madhya Pradesh,Jabalpur,2463289,115000,1,1231644.5,73.6,0.740442656,0.2,0.540442656
22,Madhya Pradesh,Sagar,2378458,115000,1,1189229,75,0.754527163,0.2,0.554527163
23,Madhya Pradesh,Satna,2378458,115000,1,1189229,75,0.754527163,0.2,0.554527163
24,Madhya Pradesh,Sehore,1311332,115000,1,655666,99.4,1,0.2,0.8
25,Manipur,Churachandpur,274143,153993,1,137071.5,86,0.865191147,0.014814815,0.850376332
26,Manipur,Imphal,456113,153993,1,228056.5,68,0.684104628,0.014814815,0.669289813
27,Meghalaya,Shillong,541319,139602,1,270659.5,91.6,0.921529175,0,0.921529175
28,Odisha,Angul,43795,145000,1,21897.5,77.2,0.77665996,0.140740741,0.635919219
29,Odisha,Balangir,43795,145000,1,21897.5,77.2,0.77665996,0.140740741,0.635919219
30,Odisha,Balasore,43795,145000,1,21897.5,77.2,0.77665996,0.140740741,0.635919219
31,Odisha,Dhenkanal,1192811,145000,1,596405.5,86.8,0.873239437,0.140740741,0.732498696
32,Puducherry,Pondicherry,335761,145000,1,167880.5,56.8,0.571428571,0,0.571428571
33,Punjab,Amritsar,2490656,200000,1,1245328,93.8,0.943661972,0.325925926,0.617736046
34,Punjab,Pathankot,156306,200000,1,78153,83.8,0.84305835,0.325925926,0.517132424
35,Rajasthan,Jodhpur,3687165,160000,1,1843582.5,99.2,0.997987928,0.296296296,0.701691631
36,Uttarakhand,Haldwani,232095,210000,1,116047.5,57.2,0.575452716,0.066666667,0.50878605
